,EventID,car_10_10,car_5_5,car_2_5,car_2_2,car_1_1,car_1_0,Block_3,Block_5,Block_10,Block_20,Block_30,GROUP_A,GROUP_F,GROUP_S,Leverage_T-1,MarketCap_T-1,NetSales_T-1,SalesGrowth,MarketToBookValue_T-1,ReturnOnAssets_T-1,TurnoverByVolume,BHAR,BlockholderExchange,LOG(MarketCap_T-1),LOG(NetSales_T-1),LOG(TurnoverByVolume)
count,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
mean,46.65151515151515,0.03686060606060606,0.006624242424242426,0.014904545454545455,0.011306060606060608,0.013874242424242426,0.01667424242424242,0.21212121212121213,0.3333333333333333,0.21212121212121213,0.13636363636363635,0.10606060606060606,0.21212121212121213,0.45454545454545453,0.3333333333333333,-801.521515151515,768306.7575757576,710089.8181818182,33.54636363636364,-43.2959090909091,-1.1354545454545457,114.33181818181816,-0.005260606060606061,0.48484848484848486,12.049720822576612,12.164233313788174,3.1934772465507733
std,26.854876322269337,0.11853827538788782,0.07052758993276988,0.08402936745213302,0.06100212576065974,0.04393616807144046,0.039335716049279656,0.4119429204355498,0.4750168687962836,0.4119429204355498,0.34580401903450975,0.31027471097463977,0.41194292043554975,0.5017452060042544,0.4750168687962836,7042.261861244088,1919144.6158399363,999574.9612249108,221.08139627146977,362.46062563020246,21.65251168104758,267.738576375763,0.23374536038425556,0.5036000929438492,1.7877282419441283,2.0015942499816157,1.9813934982520152
min,1.0,-0.165,-0.1974,-0.0919,-0.088,-0.051,-0.0609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57137.25,3300.0,977.0,-55.84,-2942.78,-110.43,0.1,-0.4991,0.0,8.101677747454572,6.884486652042782,-2.3025850929940455
5%,7.25,-0.12437500000000001,-0.105325,-0.071425,-0.063675,-0.03485,-0.03785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9675,13758.0,4106.5,-22.8375,-2.95,-30.975,0.8250000000000001,-0.36305,0.0,9.529239395659143,8.249280928329108,-0.19369779240011387
25%,24.25,-0.0437,-0.031024999999999997,-0.026775,-0.021725,-0.014225,-0.00965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045,44730.5,48724.0,-0.35500000000000004,0.9424999999999999,0.5425,7.9750000000000005,-0.1578,0.0,10.706766781103408,10.791975910543966,2.0635967433254048
50%,44.5,0.0231,-0.0007000000000000001,0.0071,0.00245,0.00025,0.00775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.755,121716.0,201399.5,8.309999999999999,1.3900000000000001,3.8600000000000003,27.950000000000003,0.00265,0.0,11.709445741163997,12.212983727993842,3.330338788686148
75%,67.75,0.090625,0.050625,0.048725000000000004,0.033775,0.028325,0.03395,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,90.53999999999999,709493.25,1270150.0,16.0325,2.7425,6.165,87.62499999999999,0.08794999999999999,1.0,13.47227139202436,14.054568672999624,4.473021944124012
95%,91.75,0.243875,0.137125,0.102025,0.095025,0.0942,0.09125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.175,3206445.5,2768928.25,40.9925,7.0200000000000005,16.2425,438.75,0.24555,1.0,14.963585363843302,14.826974444207586,6.079964142914739
max,97.0,0.4414,0.1677,0.5408,0.3586,0.1903,0.1533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,572.07,14280571.0,4712874.0,1796.62,16.19,34.22,1736.0,0.9751,1.0,16.474410500070693,15.365808470984522,7.459338895220296
